"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"The National Citizen Service programme gives 16 and 17 year olds the opportunity to enjoy outdoor activities, develop their skills<br><br>True<br>False"	"True"	"There are many opportunities for young people to volunteer and receive accreditation which will help them to develop their skills. These include the National Citizen Service programme, which gives 16- and 17-year-olds the opportunity to enjoy outdoor activities, develop their skills and take part in a community project"	"Life in the UK"	
"What is the Grand National?<br><br>Football<br>Golf<br>Horse racing<br>Cricket"	"Horse racing"	"Famous horse-racing events include: Royal Ascot, a five-day race meeting in Berkshire attended by members of the Royal Family; the Grand National at Aintree near Liverpool; and the Scottish Grand National at Ayr."	"Life in the UK"	
"What did Sir Frank Whittle invent in the 1930s?<br><br>Jet engine<br>Telephone<br>Computer<br>Ballpoint pen"	"Jet engine"	"The jet engine was developed in Britain in the 1930s by Sir Frank Whittle (1907–96), a British Royal Air Force engineer Officer."	"Life in the UK"	
"The UK government hasn’t used the power to suspend the Northern Ireland Assembly<br><br>False<br>True"	"False"	"Since 1997, some powers have been devolved from the central government to give people in Wales, Scotland and Northern Ireland more control over matters that directly affect them. There has been a Welsh Assembly and a Scottish Parliament since 1999. There is also a Northern Ireland Assembly, although this has been suspended on a few occasions."	"Life in the UK"	
"How often do PM’s Questions take place in the parliament?<br><br>Every Two Weeks<br>Every Week<br>Every Working Day<br>Every Month"	"Every Week"	"The leader of the opposition leads his or her party in pointing out what they see as the government’s failures and weaknesses. One important opportunity to do this is at Prime Minister’s Questions, which takes place every week while Parliament is sitting."	"Life in the UK"	
"What tells us about how people lived just after the Norman Conquest?<br><br>The Bayeux Tapestry<br>The Great Charter<br>The Domesday Book<br>The best preserved prehistoric village"	"The Domesday Book"	"William sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book. It still exists today and gives a picture of society in England just after the Norman Conquest."	"Life in the UK"	
"How can you contact your MP?<br><br>By sending a text message<br>By using social networks<br>By writing a letter<br>By sending an Email"	"By writing a letter"	"You can contact MPs by letter or telephone at their constituency Office, or at their Office in the House of Commons"	"Life in the UK"	
"What is the reason for more ageing population? Choose Two Answers<br><br>Better Health Care<br>Better Living Standards<br>Improved Education<br>Cheaper Food"	"Better Health Care<br>Better Living Standards"	"People in the UK are living longer than ever before. This is due to improved living standards and better health care. There are now a record number of people aged 85 and over. This has an impact on the cost of pensions and health care."	"Life in the UK"	
"Who was the Prime minister and inspiration leader during the World War Two?<br><br>R A Butler<br>Clement Attlee<br>Alexander Fleming<br>Winston Churchill"	"Winston Churchill"	"Churchill was the son of a politician and, before becoming a Conservative MP in 1900, was a soldier and journalist. In May 1940 he became Prime Minister. He refused to surrender to the Nazis and was an inspirational leader to the British people in a time of great hardship. He lost the General Election in 1945 but returned as Prime Minister in 1951."	"Life in the UK"	
"Which film or film franchise produced in UK has been the biggest gross earner?<br><br>Lord of the rings<br>James Bond<br>Charlie Chaplin<br>Matrix"	"James Bond"	"Many of the films now produced in the UK are made by foreign companies, using British expertise. Some of the most commercially successful films of all time, including the two highest-grossing film franchises (Harry Potter and James Bond), have been produced in the UK."	"Life in the UK"	
"The Man Booker Prize is awarded in which area?<br><br>Literature<br>Movies<br>Theatre<br>Music"	"Literature"	"The Man Booker Prize for Fiction is awarded annually for the best fiction novel written by an author from the Commonwealth, Ireland or Zimbabwe. It has been awarded since 1968. Past winners include Ian McEwan, Hilary Mantel and Julian Barnes."	"Life in the UK"	
"Pakistan is part of the Commonwealth<br><br>False<br>True"	"True"	"Pakistan is currently part of the Commonwealth"	"Life in the UK"	
"The Queen’s eldest son, Prince Charles, is also known as?<br><br>The Commonwealth King<br>The King of Ireland<br>The Duke of Edinburgh<br>The Prince of Wales"	"The Prince of Wales"	"The Queen has reigned since her father’s death in 1952, and in 2012 she celebrated her Diamond Jubilee (60 years as queen). She is married to Prince Philip, the Duke of Edinburgh. Her eldest son, Prince Charles (the Prince of Wales), is the heir to the throne."	"Life in the UK"	
"William Orange was asked by Protestants to invade England. This event was later known as what?<br><br>Glorious Revolution<br>Magna Carta<br>Orange Revolution<br>Industrial Revolution"	"Glorious Revolution"	"James II’s elder daughter, Mary, was married to her cousin William of Orange, the Protestant ruler of the Netherlands. In 1688, important Protestants in England asked William to invade England and proclaim himself king. This event was later called the ‘Glorious Revolution’ because there was no fighting in England and because it guaranteed the power of Parliament."	"Life in the UK"	
"In 1913, the British government promised ‘Home Rule’ for Ireland, why was this postponed?<br><br>The English people complained<br>It was opposed by Catholics<br>The outbreak of World War I<br>The Scottish people also wanted to self-govern"	"The outbreak of World War I"	"In 1913, the British government promised ‘Home Rule’ for Ireland. It was opposed by the Protestants in the north of Ireland, who threatened to resist Home Rule by force. The outbreak of the First World War led the British government to postpone any changes in Ireland. Irish Nationalists were not willing to wait and in 1916 there was an uprising (the Easter Rising) against the British in Dublin. A guerilla war against the British army and the police in Ireland followed. In 1921 a peace treaty was signed and in 1922 Ireland became two countries."	"Life in the UK"	
"What lead the American colonies to declare their independence?<br><br>The UK not providing enough health care<br>The UK wanting to tax the colonies<br>The UK wanting to stop the slave trade<br>The UK not sending enough money"	"The UK wanting to tax the colonies"	"By the 1760s, there were substantial British colonies in North America. The colonies were wealthy and largely in control of their own affairs. Many of the colonist families had originally gone to North America in order to have religious freedom. They were well educated and interested in ideas of liberty. The British government wanted to tax the colonies."	"Life in the UK"	
"Which TWO religions celebrate Diwali?<br><br>Islam<br>Buddhism<br>Sikh<br>Hindu"	"Sikh<br>Hindu"	"Diwali normally falls in October or November and lasts for five days. It is often called the Festival of Lights. It is celebrated by Hindus and Sikhs. It celebrates the victory of good over evil and the gaining of knowledge. There are different stories about how the festival came about. There is a famous celebration of Diwali in Leicester."	"Life in the UK"	
"When did the English settlers first begin to colonise the eastern coast of America?<br><br>In Elizabeth I's time<br>In Mary I's time<br>In Diana's time<br>In William I's time"	"In Elizabeth I's time"	"In Elizabeth I’s time, English settlers first began to colonise the eastern coast of America. This colonisation, particularly by people who disagreed with the religious views of the next two kings, greatly increased in the next century."	"Life in the UK"	
"Name the most famous cricket competition, which is a series of Test matches played between England and Australia<br><br>Lords<br>Masters<br>Classics<br>Ashes"	"Ashes"	"The most famous competition is the Ashes, which is a series of Test matches played between England and Australia."	"Life in the UK"	
"Queen Elizabeth I was a devout Catholic and persecuted Protestants<br><br>True<br>False"	"False"	"Mary was a devout Catholic and persecuted Protestants (for this reason, she became known as ‘Bloody Mary’). Mary also died after a short reign and the next monarch was her half-sister, Elizabeth, the daughter of Henry VIII and Anne Boleyn."	"Life in the UK"	
"Whom did the serfs serve?<br><br>Slaves<br>Peasants<br>Knights<br>Lords"	"Lords"	"The Normans used a system of land ownership known as feudalism. The king gave land to his lords in return for help in war. Landowners had to send certain numbers of men to serve in the army. Some peasants had their own land but most were serfs."	"Life in the UK"	
"Which battle did William the Conqueror fight in?<br><br>The Battle of Agincourt<br>The Battle of Hastings<br>The Battle of Bannockburn<br>The Battle of Bosworth Field"	"The Battle of Hastings"	"In 1066, an invasion led by William, the Duke of Normandy (in what is now northern France), defeated Harold, the Saxon king of England, at the Battle of Hastings. Harold was killed in the battle. William became king of England and is known as William the Conqueror. The battle is commemorated in a great piece of embroidery, known as the Bayeux Tapestry, which can still be seen in France today."	"Life in the UK"	
"Where is Tate Britain and Tate Modern located?<br><br>London<br>Edinburgh<br>Cardiff<br>Manchester"	"London"	"Works by British and international artists are displayed in galleries across the UK. Some of the most well-known galleries are The National Gallery, Tate Britain and Tate Modern in London, the National Museum in Cardiff, and the National Gallery of Scotland in Edinburgh."	"Life in the UK"	
"What was the longest British War with France called?<br><br>The Hundred Years War<br>The Battle of Trafalgar<br>The Battle of Bannockburn<br>The Battle of the Boyne"	"The Hundred Years War"	"English kings also fought a long war with France, called the Hundred Years War (even though it actually lasted 116 years). One of the most famous battles of the Hundred Years War was the Battle of Agincourt in 1415, where King Henry V’s vastly outnumbered English army defeated the French. The English left France in the 1450s."	"Life in the UK"	
"What is the Cenotaph associated with?<br><br>Government office<br>War Memorial<br>Garden<br>Park"	"War Memorial"	"After the First World War, Sir Edwin Lutyens was responsible for many war memorials throughout the world, including the Cenotaph in Whitehall. The Cenotaph is the site of the annual Remembrance Day service attended by the Queen, politicians and foreign ambassadors"	"Life in the UK"	
"The system of government in the UK is a parliamentary democracy<br><br>False<br>True"	"True"	"The system of government in the UK is a parliamentary democracy. The UK is divided into parliamentary constituencies. Voters in each constituency elect their member of Parliament (MP) in a General Election. All of the elected MPs form the House of Commons. Most MPs belong to a political party, and the party with the majority of MPs forms the government. If one party does not get a majority, two parties can join together to form a coalition."	"Life in the UK"	
"Which one is not a valid UK coin?<br><br>5p<br>50p<br>25p<br>2p"	"25p"	"The currency in the UK is the pound sterling (symbol £). There are 100 pence in a pound. The denominations (values) of currency are:"	"Life in the UK"	
"What is  the geographic position of the UK in Europe?<br><br>East<br>West<br>North West<br>South"	"North West"	"The UK is located in the North West of Europe."	"Life in the UK"	
"You have to be 21 years old to stand as an MP<br><br>True<br>False"	"False"	"Anyone aged 18 or over can stand for election as an MP but they are unlikely to win unless they have been nominated to represent one of the major political parties. These are the Conservative Party, the Labour Party, the Liberal Democrats, or one of the parties representing Scottish, Welsh or Northern Irish interests."	"Life in the UK"	
"Which TWO are School Governor’s duties?<br><br>Looking after school's finances<br>Setting the strategic direction<br>Monitoring expenses<br>Evaluating school performance"	"Setting the strategic direction<br>Evaluating school performance"	"Governors and school boards have an important part to play in raising school standards. They have three key roles:"	"Life in the UK"	
"What character did Charlie Chaplin play?<br><br>Comedian<br>Hero<br>Tramp<br>Detective"	"Tramp"	"Sir Charles (Charlie) Chaplin became famous in silent movies for his tramp character and was one of many British actors to make a career in Hollywood."	"Life in the UK"	
"What was Isaac Newton famous for?<br><br>Splitting the atom<br>Discovering penicillin<br>Explaining gravitation<br>Cloning a sheep"	"Explaining gravitation"	"His most famous published work was Philosophiae Naturalis Principia Mathematica (‘Mathematical Principles of Natural Philosophy’), which showed how gravity applied to the whole universe. Newton also discovered that white light is made up of the colours of the rainbow. Many of his discoveries are still important for modern science."	"Life in the UK"	
"Where are the minor criminal cases dealt with in England, Wales and N. Ireland?<br><br>Magistrates’ Court<br>Justice of the Peace Court<br>Crown Court<br>High Court"	"Magistrates’ Court"	"In England, Wales and Northern Ireland, most minor criminal cases are dealt with in a Magistrates’ Court. In Scotland, minor criminal offences go to a Justice of the Peace Court."	"Life in the UK"	
"Who ran 1 mile in 4 minutes in 1954?<br><br>Sir Steve Redgrave<br>Sir Chris Hoy<br>Sir Roger Bannister<br>Sir Jackie Stewart"	"Sir Roger Bannister"	"Sir Roger Bannister (1929–) was the first man in the world to run a mile in under four minutes, in 1954."	"Life in the UK"	
"The BBC is controlled by the UK government<br><br>False<br>True"	"False"	"The BBC is the largest broadcaster in the world. It is the only wholly state-funded media organisation that is independent of government. Other UK channels are primarily funded through advertisements and subscriptions."	"Life in the UK"	
"Women over 30 were allowed to vote as a result of their contribution towards the war effort. Which war was it?<br><br>Second World War<br>Boer War<br>First World War<br>Crimean war"	"First World War"	"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War. Shortly before Emmeline’s death in 1928, women were given the right to vote at the age of 21, the same as men."	"Life in the UK"	
"What’s the objective of the Commonwealth?<br><br>Achieve goals in democracy and development<br>Promote peace across the world<br>Allow visa free migration across the member states<br>Promote free trade"	"Achieve goals in democracy and development"	"The Commonwealth is an association of countries that support each other and work together towards shared goals in democracy and development. Most member states were once part of the British Empire, although a few countries which were not have also joined."	"Life in the UK"	
"How can you arrange to get a National Insurance number?<br><br>Contact your local council<br>Contact the Department for Work and Pensions<br>Contact your employer<br>Write to your MP"	"Contact the Department for Work and Pensions"	"If you have permission to work in the UK, you will need to telephone the Department for Work and Pensions (DWP) to arrange to get a National Insurance number."	"Life in the UK"	
"Which TWO of the athletes are paralympians?<br><br>Andy Murray<br>David Weir<br>Jessica Ennis<br>Ellie Simmonds"	"David Weir<br>Ellie Simmonds"	"Ellie Simmonds (1994–) is a Paralympian who won gold medals for swimming at the 2008 and 2012 Paralympic Games and holds a number of world records. She was the youngest member of the British team at the 2008 Games.David Weir (1979–) is a Paralympian who uses a wheelchair and has won six gold medals over two Paralympic Games. He has also won the London Marathon six times."	"Life in the UK"	
"What’s the Queen’s speech for?<br><br>Encourage the youth to persuade education<br>Give advise to the general public<br>Summarise all of the previous policies<br>Set out the government's legislative plans for the next year"	"Set out the government's legislative plans for the next year"	"The Queen has important ceremonial roles, such as the opening of the new parliamentary session each year. On this occasion the Queen makes a speech which summarises the government’s policies for the year ahead. All Acts of Parliament are made in her name."	"Life in the UK"	
"Nick Park created the ‘Wallace and Gromit’ film. What kind of film was it?<br><br>Animated film<br>Adventure film<br>Detective film<br>Romance film"	"Animated film"	"Britain continues to be particularly strong in special effects and animation. One example is the work of Nick Park, who has won four Oscars for his animated films, including three for films featuring Wallace and Gromit."	"Life in the UK"	
" Admiral Nelson died in which battle?<br><br>Battle of Trafalgar<br>Battle of Waterloo<br>Battle of Agincourt<br>Battle of Britain"	"Battle of Trafalgar"	"Britain’s navy fought against combined French and Spanish fleets, winning the Battle of Trafalgar in 1805. Admiral Nelson was in charge of the British fleet at Trafalgar and was killed in the battle."	"Life in the UK"	
